seed_ID,ep_reward_pw1,ep_reward_pw2,ep_reward_pw3,ep_reward_pw4,ep_reward_pw5
65,-1007.8049905015963,-1093.2897597044687,-991.169550765472,-921.0919026962507,-446.96155855945324
66,-835.1902615481192,-851.8533858053,-1458.1173919826708,-1236.9812350273048,-462.6012872209142
67,-902.4539612123932,-1256.5071160258499,-1471.879019761679,-1022.8861759311593,-327.3305021867179
68,-903.636941750932,-1169.8148368599118,-1351.302725472749,-921.8094561190928,-310.5612361451558
69,-1430.8401593670308,-1069.3704676619925,-1431.9311866101275,-925.9402837240096,-343.74348771695554
70,-1037.2637943854975,-1143.8186420487957,-1447.4990106722523,-919.4040002166738,-460.1061895020447
71,-1005.7442087680786,-1397.7257394026592,-1353.919805705009,-1177.3413524936427,-263.31655651350906
72,-1195.5714907114154,-885.6600742147809,-1561.1454541331059,-759.8960577435972,-629.9115957408527
73,-845.1174137509202,-1419.2621457764396,-1328.2638298862603,-1210.9609227752394,-365.9858205960263
74,-813.8861643798409,-1415.9941820001427,-1191.3368630181947,-1197.9861544719838,-342.553570884413
75,-610.8043068106516,-1650.7217267684039,-1215.3786065462064,-1373.5389176579408,-462.587990123258
76,-982.2767600697646,-1085.7426735045187,-1747.814428419765,-902.4760212231829,-479.6388996211011
77,-1208.069804253083,-1206.4314203025378,-1556.3601699487306,-770.502326225954,-376.99906582715425
78,-800.1888454701133,-722.465188554641,-1232.4165994116759,-655.8752620492694,-268.6428639628234
79,-830.9625571514597,-1261.8958994210254,-1180.0694180696044,-1013.4801288786596,-354.0185668207132
80,-813.218483549759,-1267.3496718459896,-1246.9465509331185,-1054.3130234439816,-411.6376362648522
81,-774.2356592486892,-1367.83268062999,-1152.9565830750566,-1026.554278162259,-234.51784274821944
82,-1218.729425428929,-1281.302748092415,-1510.114852678547,-1226.455584402872,-353.7726974038277
83,-1418.715021402139,-1077.132068285801,-1287.4986943461643,-906.0052206035816,-448.23243019883427
84,-1363.203307173687,-857.7794404920894,-1651.9495693153667,-759.1515033580739,-437.47445688658826
85,-1215.0334349344369,-1453.5581087192734,-1592.9049664003828,-1179.8587276701764,-531.0840843303187
86,-819.0968795420422,-1449.7139836844735,-1131.8616696838844,-730.139540487464,-538.7639138824417
87,-1266.2519004286046,-1385.3169061282006,-1392.027174827454,-1167.6330123899277,-331.9979348845679
88,-833.8057844801656,-1402.1479798100572,-1276.164841248605,-1174.8984864825256,-364.8085070476066
89,-1014.7109513247813,-1416.614874394155,-1648.1108928560748,-1371.6889540141879,-341.1860487113013
90,-966.4540320673663,-1028.26199841308,-1627.0814477330437,-888.5219703372604,-457.4740081172189
91,-989.7540986138932,-713.6611484540347,-1427.9334046205688,-636.6100050470708,-343.6707585347997
92,-1227.4290986149326,-1457.145924652726,-1581.7932085947216,-1100.477489929061,-452.3419441017714
93,-987.9427276512835,-1033.2044192277608,-1339.8789839187177,-848.1697439422294,-340.84711974281686
94,-1210.3533051553745,-1249.8801451553238,-1509.751083444358,-1040.290889500673,-533.001743704003
95,-979.6122051461357,-997.6659622777561,-1333.7495966591443,-1248.1407286712745,-445.74046044055905
96,-786.4444866115641,-1089.6410270359634,-1045.4448816470424,-913.7631214174443,-311.2650753516507
97,-995.1400252626198,-1367.8028158290392,-1664.094002009478,-1263.6419331984316,-580.7977191168665
98,-604.3060028603187,-1421.4969611912302,-1772.8492713813096,-1059.472364287287,-444.38986989857244
99,-775.8537637618541,-969.9731708413118,-1062.6712415958782,-863.1767808456234,-299.64586616053043
100,-583.294655771073,-1537.228974805971,-942.6398416794216,-1139.417503377366,-228.08596605406524
